coral,tank,treat,pco2,temp,T0_T90,reef,species,fpco2,ftemp,colony,SA,den,pro,chla,sum_bw5,red_bw1,green_bw1,blue_bw1,sum_bw1,red_bw2,green_bw2,blue_bw2,sum_bw2,red_bw3,green_bw3,blue_bw3,sum_bw3,red_bw4,green_bw4,blue_bw4,sum_bw4,red_bw5,green_bw5,blue_bw5,rate,carb,lipid
CFPE8,2800_28_3,3285_28,3285,28,T90,F,P,2800,28,PE_F,11.411,1009902.725,0.222,42.78784,266.35,157.75,121.6,33.3,312.65,94.5,66.5,21.45,182.45,122.85,91.2,30.95,245,119.75,90.35,27.05,237.15,131.55,101.3,33.5,-0.27,0.292174768,0.135297048
CFPF1,280_31_3,311_31,311,31,T90,F,P,280,31,PF_F,10.667,253112.3444,0.24,70.31936,398.55,99.35,69.3,9.55,178.2,123.15,92.2,29.75,245.1,172.55,138.75,49.8,361.1,180.3,145.7,58.4,384.4,178.65,151.6,68.3,0.323,0.454428344,0.101261598
CFPF2,280_28_3,288_28,288,28,T90,F,P,280,28,PF_F,11.07,768948.1767,0.275,31.91552,327.5,136.75,101.75,18.25,256.75,167.45,131.2,49.45,348.1,144,106.8,37.9,288.7,171.35,132.95,39.2,343.5,161.65,128.25,37.6,-0.7,0.292871548,0.144708576
CFPF6,700_28_3,673_28,673,28,T90,F,P,700,28,PF_F,11.765,493087.0354,0.139,11.345792,283.75,174.7,137.3,40.1,352.1,127.65,96.9,30.05,254.6,173.3,137.55,66.6,377.45,169.7,135.15,55.6,360.45,146.8,111.55,25.4,-0.171,0.222075191,0.178358814
CFPF7,2800_31_3,3309_31,3309,31,T90,F,P,2800,31,PF_F,12.335,116224.396,0.071,31.5648,314.35,152.8,120.2,31.65,304.65,150.9,121.95,51.4,324.25,211.15,181.45,100.05,492.65,215.2,190.15,99.9,505.25,140.25,113.85,60.25,-0.94,0.257079352,0.080168827
CFPF8,2800_28_3,3285_28,3285,28,T90,F,P,2800,28,PF_F,15.117,2192410.311,0.491,70.84544,256.85,178.65,144.45,42.95,366.05,129.8,97.3,31.55,258.65,147.15,109.05,39.45,295.65,140.05,104.95,31.15,276.15,124.1,94.65,38.1,-0.013,0.543351799,0.092627801
CFSA1,280_31_1,311_31,311,31,T90,F,S,280,31,SA_F,10.283,3880705.394,0.392,101.88416,93.3,148.2,96.2,41.5,285.9,176.1,122.3,57.1,355.5,111.8,60.2,18.4,190.4,75.6,39.6,19.7,134.9,48.8,27.1,17.4,0.752,0.762917605,1.191960831
CFSA10,2800_28_1,3285_28,3285,28,T90,F,S,2800,28,SA_F,6.446,1833169.571,0.491,34.37056,147.1,119.7,62.8,24,206.5,111.8,63.9,30.3,206,102.5,59.1,33.5,195.1,96.9,60.9,40,197.8,76.8,42.4,27.9,-0.056,0.789759019,0.15873714
CFSA14,280_28_1,288_28,288,28,T90,F,S,280,28,SA_F,4.661,1645998.713,0.617,37.52704,142.3,NA,NA,NA,NA,134.4,79.7,30,244.1,137.3,88,34.5,259.8,71.1,37.7,17.8,126.6,74.8,42,25.5,0.957,0.575092154,0.403725568
CFSA2,400_28_1,447_28,447,28,T90,F,S,400,28,SA_F,8.3,2284727.521,0.235,127.83744,146.6,NA,NA,NA,NA,130.8,69.8,26.5,227.1,122.8,71.4,29.4,223.6,68.8,37.2,19.4,125.4,80.9,43.8,21.9,1.093,0.732976545,0.166935082
